Object,TextureSet,Material,UV_Channel
GEO_UpperArm_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Wrist_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ElbowGuard_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_ElbowLink_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Elbow_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_FingerBlock_Lower_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_FingerBlock_Upper_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_ForearmFrame_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_ForearmReinforcement_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Forearm_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_HandBackArmor_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Hand_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Index_01_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Index_02_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Knuckle_Index_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Knuckle_Middle_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Knuckle_Pinky_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Knuckle_Ring_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Middle_01_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Middle_02_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_PalmSideGuard_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Palm_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Pinky_01_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Pinky_02_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Ring_01_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Ring_02_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_ShoulderArmor_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_ShoulderBase_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_ShoulderCrest_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_ShoulderInsetRib_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_ShoulderOuterArmor_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Thumb_01_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Thumb_02_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_UpperArmFrame_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_UpperArmPlate_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_UpperArm_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_Wrist_R,04_Arm_R,MAT_Boss_04_Arm_R,UVMap
GEO_AnkleGuard_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_Ankle_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_FootHeelGuard_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_FootToeArmor_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_Foot_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_HeelLoadPlate_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_Heel_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_KneeOuterGuard_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_Knee_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ShinAnkleFlare_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ShinFlankArmor_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ShinFrame_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ShinKeel_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ShinRearSupport_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ShinSideInset_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_Shin_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ThighCrest_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ThighFrame_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ThighOuterArmor_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ThighRearSupport_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ThighSecondary_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_ThighSideInset_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_Thigh_L,05_Leg_L,MAT_Boss_05_Leg_L,UVMap
GEO_AnkleGuard_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_Ankle_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_FootHeelGuard_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_FootToeArmor_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_Foot_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_HeelLoadPlate_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_Heel_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_KneeOuterGuard_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_Knee_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ShinAnkleFlare_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ShinFlankArmor_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ShinFrame_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ShinKeel_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ShinRearSupport_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ShinSideInset_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_Shin_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ThighCrest_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ThighFrame_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ThighOuterArmor_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ThighRearSupport_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ThighSecondary_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ThighSideInset_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_Thigh_R,06_Leg_R,MAT_Boss_06_Leg_R,UVMap
GEO_ShieldBase_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldCore_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldInnerFrame_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldMount_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldPanel_L_01,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldPanel_L_02,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldPanel_L_03,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldPanel_L_04,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldPanel_Lower_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldPanel_Upper_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldSupport_InnerLower_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldSupport_InnerUpper_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldSupport_Lower_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldSupport_OuterLower_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldSupport_OuterUpper_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldSupport_Upper_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldSwivelHousing_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_ShieldSwivelHub_L,07_Shield,MAT_Boss_07_Shield,UVMap
GEO_GunBarrel_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_GunBody_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_GunDoor_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_GunDorsalArmor_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_GunHousing_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_GunLayerMount_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_GunLiftBridge_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_LaserEmitter_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_LaserEmitter_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_LaserRail_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_LaserRail_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_LauncherButtress_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_LauncherButtress_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_LauncherMountArmor_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_LauncherMountArmor_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileMount_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileMount_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissilePod_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissilePod_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_L_01,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_L_02,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_L_03,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_L_04,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_L_05,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_L_06,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_R_01,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_R_02,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_R_03,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_R_04,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_R_05,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_MissileTube_R_06,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_SwordBlade_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_SwordBlade_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_SwordGuard_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_SwordGuard_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_SwordHandle_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_SwordHandle_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_SwordHinge_L,08_Weapons,MAT_Boss_08_Weapons,UVMap
GEO_SwordHinge_R,08_Weapons,MAT_Boss_08_Weapons,UVMap
